timestamp,temperatura_pr1,date (America/Sao_Paulo)
1763419023200,4.5,2025-11-17 19:37:03.200000-03:00
1763418962882,4.0,2025-11-17 19:36:02.882000-03:00
1763418902540,3.6,2025-11-17 19:35:02.540000-03:00
1763418842216,3.4,2025-11-17 19:34:02.216000-03:00
1763418781898,4.0,2025-11-17 19:33:01.898000-03:00
1763418721560,5.0,2025-11-17 19:32:01.560000-03:00
1763418661250,5.9,2025-11-17 19:31:01.250000-03:00
1763418600794,6.7,2025-11-17 19:30:00.794000-03:00
1763418540479,7.2,2025-11-17 19:29:00.479000-03:00
1763418480156,7.1,2025-11-17 19:28:00.156000-03:00
1763418419822,6.8,2025-11-17 19:26:59.822000-03:00
1763418359487,6.5,2025-11-17 19:25:59.487000-03:00
1763418299157,6.2,2025-11-17 19:24:59.157000-03:00
1763418238830,6.0,2025-11-17 19:23:58.830000-03:00
1763418178510,5.7,2025-11-17 19:22:58.510000-03:00
1763418118212,5.5,2025-11-17 19:21:58.212000-03:00
1763418057852,5.3,2025-11-17 19:20:57.852000-03:00
1763417997533,5.1,2025-11-17 19:19:57.533000-03:00
1763417937198,4.9,2025-11-17 19:18:57.198000-03:00
1763417876874,4.7,2025-11-17 19:17:56.874000-03:00
1763417816544,4.2,2025-11-17 19:16:56.544000-03:00
1763417756214,3.8,2025-11-17 19:15:56.214000-03:00
1763417695891,3.5,2025-11-17 19:14:55.891000-03:00
1763417631238,3.5,2025-11-17 19:13:51.238000-03:00
1763417570914,4.4,2025-11-17 19:12:50.914000-03:00
1763417510588,5.3,2025-11-17 19:11:50.588000-03:00
1763417450271,5.9,2025-11-17 19:10:50.271000-03:00
1763417389940,6.0,2025-11-17 19:09:49.940000-03:00
1763417329615,5.5,2025-11-17 19:08:49.615000-03:00
1763417269279,5.0,2025-11-17 19:07:49.279000-03:00
1763417208760,4.5,2025-11-17 19:06:48.760000-03:00
1763417148414,4.0,2025-11-17 19:05:48.414000-03:00
1763417088035,3.6,2025-11-17 19:04:48.035000-03:00
1763417027735,3.5,2025-11-17 19:03:47.735000-03:00
1763416967406,4.3,2025-11-17 19:02:47.406000-03:00
1763416907051,5.2,2025-11-17 19:01:47.051000-03:00
1763416846724,5.8,2025-11-17 19:00:46.724000-03:00
1763416786396,6.0,2025-11-17 18:59:46.396000-03:00
1763416726069,5.5,2025-11-17 18:58:46.069000-03:00
1763416665751,5.0,2025-11-17 18:57:45.751000-03:00
1763416605419,4.6,2025-11-17 18:56:45.419000-03:00
1763416545106,4.1,2025-11-17 18:55:45.106000-03:00
1763416484757,3.7,2025-11-17 18:54:44.757000-03:00
1763416424435,3.4,2025-11-17 18:53:44.435000-03:00
1763416364103,3.7,2025-11-17 18:52:44.103000-03:00
1763416303715,4.6,2025-11-17 18:51:43.715000-03:00
1763416243387,5.4,2025-11-17 18:50:43.387000-03:00
1763416183069,6.0,2025-11-17 18:49:43.069000-03:00
1763416122734,5.9,2025-11-17 18:48:42.734000-03:00
1763416062411,5.4,2025-11-17 18:47:42.411000-03:00
1763416002073,4.9,2025-11-17 18:46:42.073000-03:00
1763415941733,4.4,2025-11-17 18:45:41.733000-03:00
1763415881406,4.0,2025-11-17 18:44:41.406000-03:00
1763415821080,3.6,2025-11-17 18:43:41.080000-03:00
1763415760755,3.4,2025-11-17 18:42:40.755000-03:00
1763415700426,4.0,2025-11-17 18:41:40.426000-03:00
1763415640100,4.9,2025-11-17 18:40:40.100000-03:00
1763415579779,5.6,2025-11-17 18:39:39.779000-03:00
1763415519449,6.1,2025-11-17 18:38:39.449000-03:00
1763415459120,5.7,2025-11-17 18:37:39.120000-03:00
1763415398799,5.2,2025-11-17 18:36:38.799000-03:00
1763415338472,4.7,2025-11-17 18:35:38.472000-03:00
1763415278139,4.3,2025-11-17 18:34:38.139000-03:00
1763415217814,3.9,2025-11-17 18:33:37.814000-03:00
1763415157484,3.5,2025-11-17 18:32:37.484000-03:00
1763415097158,3.5,2025-11-17 18:31:37.158000-03:00
1763415036846,4.3,2025-11-17 18:30:36.846000-03:00
1763414976507,5.1,2025-11-17 18:29:36.507000-03:00
1763414916178,5.7,2025-11-17 18:28:36.178000-03:00
1763414855862,6.0,2025-11-17 18:27:35.862000-03:00
1763414795528,5.6,2025-11-17 18:26:35.528000-03:00
1763414735205,5.1,2025-11-17 18:25:35.205000-03:00
1763414674880,4.6,2025-11-17 18:24:34.880000-03:00
1763414614548,4.1,2025-11-17 18:23:34.548000-03:00
1763414554220,3.7,2025-11-17 18:22:34.220000-03:00
1763414493912,3.4,2025-11-17 18:21:33.912000-03:00
1763414433569,3.6,2025-11-17 18:20:33.569000-03:00
1763414373242,4.5,2025-11-17 18:19:33.242000-03:00
1763414312682,5.3,2025-11-17 18:18:32.682000-03:00
1763414252365,5.9,2025-11-17 18:17:32.365000-03:00
1763414192037,5.9,2025-11-17 18:16:32.037000-03:00
1763414131719,5.4,2025-11-17 18:15:31.719000-03:00
1763414071378,5.0,2025-11-17 18:14:31.378000-03:00
1763414011060,4.5,2025-11-17 18:13:31.060000-03:00
1763413950732,4.0,2025-11-17 18:12:30.732000-03:00
1763413890399,3.6,2025-11-17 18:11:30.399000-03:00
1763413830009,3.5,2025-11-17 18:10:30.009000-03:00
1763413769680,4.3,2025-11-17 18:09:29.680000-03:00
1763413709357,5.2,2025-11-17 18:08:29.357000-03:00
1763413649026,5.8,2025-11-17 18:07:29.026000-03:00
1763413588709,6.0,2025-11-17 18:06:28.709000-03:00
1763413528377,5.5,2025-11-17 18:05:28.377000-03:00
1763413468052,5.0,2025-11-17 18:04:28.052000-03:00
1763413407731,4.6,2025-11-17 18:03:27.731000-03:00
1763413347401,4.1,2025-11-17 18:02:27.401000-03:00
1763413287007,3.7,2025-11-17 18:01:27.007000-03:00
1763413226679,3.5,2025-11-17 18:00:26.679000-03:00
1763413166351,4.2,2025-11-17 17:59:26.351000-03:00
1763413106023,5.1,2025-11-17 17:58:26.023000-03:00
1763413045695,5.7,2025-11-17 17:57:25.695000-03:00
1763412985372,6.0,2025-11-17 17:56:25.372000-03:00
1763412925059,5.6,2025-11-17 17:55:25.059000-03:00
1763412864719,5.1,2025-11-17 17:54:24.719000-03:00
1763412804398,4.6,2025-11-17 17:53:24.398000-03:00
1763412744048,4.2,2025-11-17 17:52:24.048000-03:00
1763412683712,3.8,2025-11-17 17:51:23.712000-03:00
1763412623385,3.4,2025-11-17 17:50:23.385000-03:00
1763412563067,3.6,2025-11-17 17:49:23.067000-03:00
1763412502736,4.4,2025-11-17 17:48:22.736000-03:00
1763412442367,5.2,2025-11-17 17:47:22.367000-03:00
1763412382040,5.9,2025-11-17 17:46:22.040000-03:00
1763412321719,6.0,2025-11-17 17:45:21.719000-03:00
1763412261390,5.5,2025-11-17 17:44:21.390000-03:00
1763412201023,5.0,2025-11-17 17:43:21.023000-03:00
1763412140701,4.5,2025-11-17 17:42:20.701000-03:00
1763412080369,4.1,2025-11-17 17:41:20.369000-03:00
1763412020045,3.7,2025-11-17 17:40:20.045000-03:00
1763411959722,3.4,2025-11-17 17:39:19.722000-03:00
1763411899390,3.7,2025-11-17 17:38:19.390000-03:00
1763411839061,4.6,2025-11-17 17:37:19.061000-03:00
1763411778754,5.4,2025-11-17 17:36:18.754000-03:00
1763411718409,6.0,2025-11-17 17:35:18.409000-03:00
1763411657762,5.8,2025-11-17 17:34:17.762000-03:00
1763411597211,5.4,2025-11-17 17:33:17.211000-03:00
1763411536705,4.9,2025-11-17 17:32:16.705000-03:00
1763411476382,4.4,2025-11-17 17:31:16.382000-03:00
1763411416048,4.0,2025-11-17 17:30:16.048000-03:00
1763411355710,3.6,2025-11-17 17:29:15.710000-03:00
1763411295389,3.6,2025-11-17 17:28:15.389000-03:00
1763411235047,4.4,2025-11-17 17:27:15.047000-03:00
1763411174716,5.2,2025-11-17 17:26:14.716000-03:00
1763411112515,5.8,2025-11-17 17:25:12.515000-03:00
1763411052186,6.0,2025-11-17 17:24:12.186000-03:00
1763410991858,5.5,2025-11-17 17:23:11.858000-03:00
1763410931417,5.0,2025-11-17 17:22:11.417000-03:00
1763410871091,4.5,2025-11-17 17:21:11.091000-03:00
1763410810775,4.1,2025-11-17 17:20:10.775000-03:00
1763410750445,3.7,2025-11-17 17:19:10.445000-03:00
1763410690110,3.4,2025-11-17 17:18:10.110000-03:00
1763410629793,3.7,2025-11-17 17:17:09.793000-03:00
1763410569463,4.6,2025-11-17 17:16:09.463000-03:00
1763410509127,5.3,2025-11-17 17:15:09.127000-03:00
1763410448804,5.9,2025-11-17 17:14:08.804000-03:00
1763410388482,5.9,2025-11-17 17:13:08.482000-03:00
1763410328145,5.4,2025-11-17 17:12:08.145000-03:00
1763410267828,4.9,2025-11-17 17:11:07.828000-03:00
1763410207490,4.5,2025-11-17 17:10:07.490000-03:00
1763410147166,4.0,2025-11-17 17:09:07.166000-03:00
1763410086836,3.7,2025-11-17 17:08:06.836000-03:00
1763410026509,3.4,2025-11-17 17:07:06.509000-03:00
1763409966067,3.7,2025-11-17 17:06:06.067000-03:00
1763409905738,4.6,2025-11-17 17:05:05.738000-03:00
1763409845425,5.3,2025-11-17 17:04:05.425000-03:00
1763409785089,5.9,2025-11-17 17:03:05.089000-03:00
1763409724762,5.9,2025-11-17 17:02:04.762000-03:00
1763409664435,5.4,2025-11-17 17:01:04.435000-03:00
1763409604108,4.9,2025-11-17 17:00:04.108000-03:00
1763409543780,4.4,2025-11-17 16:59:03.780000-03:00
1763409483455,4.0,2025-11-17 16:58:03.455000-03:00
1763409423127,3.6,2025-11-17 16:57:03.127000-03:00
1763409362798,3.4,2025-11-17 16:56:02.798000-03:00
1763409302469,3.7,2025-11-17 16:55:02.469000-03:00
1763409242145,4.6,2025-11-17 16:54:02.145000-03:00
1763409181815,5.4,2025-11-17 16:53:01.815000-03:00
1763409121586,6.0,2025-11-17 16:52:01.586000-03:00
1763409061163,5.8,2025-11-17 16:51:01.163000-03:00
1763409000749,5.4,2025-11-17 16:50:00.749000-03:00
1763408940425,4.9,2025-11-17 16:49:00.425000-03:00
1763408880097,4.4,2025-11-17 16:48:00.097000-03:00
1763408819770,4.0,2025-11-17 16:46:59.770000-03:00
1763408759441,3.6,2025-11-17 16:45:59.441000-03:00
1763408699117,3.4,2025-11-17 16:44:59.117000-03:00
1763408638801,3.8,2025-11-17 16:43:58.801000-03:00
1763408578463,4.7,2025-11-17 16:42:58.463000-03:00
1763408518138,5.4,2025-11-17 16:41:58.138000-03:00
1763408457808,6.0,2025-11-17 16:40:57.808000-03:00
1763408397483,5.8,2025-11-17 16:39:57.483000-03:00
1763408337158,5.3,2025-11-17 16:38:57.158000-03:00
1763408276828,4.8,2025-11-17 16:37:56.828000-03:00
1763408216500,4.4,2025-11-17 16:36:56.500000-03:00
1763408156174,4.0,2025-11-17 16:35:56.174000-03:00
1763408095850,3.6,2025-11-17 16:34:55.850000-03:00
1763408031041,3.4,2025-11-17 16:33:51.041000-03:00
1763407970711,3.8,2025-11-17 16:32:50.711000-03:00
1763407910385,4.7,2025-11-17 16:31:50.385000-03:00
1763407850059,5.4,2025-11-17 16:30:50.059000-03:00
1763407789742,6.0,2025-11-17 16:29:49.742000-03:00
1763407729407,5.8,2025-11-17 16:28:49.407000-03:00
